"API Login ID","API Login ID"
"Accepted Currency","Toegestane valuta"
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Authoriseer en Capture"
"Authorize.net","Authorize.net"
"Credit Card Types","Creditcard maatschappij"
"Credit Card Verification","Creditcard verficatie"
"Debug","Debuggen"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Error in capturing the payment.","Fout bij het verkrijgen van de betaling"
"Error in payment gateway.","Fout in de betaalomgeving"
"Error in refunding the payment.","Fout bij terugboeken van betaling"
"Gateway error: %s","Error betaalomgeving: %s"
"Invalid amount for authorization.","Ongeldige hoeveelheid voor autorisatie."
"Invalid transaction ID.","Ongeldige transactie ID"
"Maximum Order Total","Maximale bestelwaarde"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimale bestelwaarde"
"New Order Status","Status nieuwe bestelling"
"Payment Action","Betalingsactie"
"Payment authorization error.","Betaling autorisatiefout."
"Payment authorization transaction has been declined.","Betalings autorisatie transactie is afgewezen"
"Payment from Applicable Countries","Betalingen toestaan"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Sort Order","Sorteervolgorde"
"Test Mode","Test modus"
"Title","Titel"
"Transaction Key","Transactiecode"
"Error in authorizing the payment","Fout bij autorisatie betaling"
"Error in capturing the payment","Fout bij afvangen van betaling"
"Error in payment gateway","Fout in betaling gateway"
"Error in refunding the payment","Fout bij terugboeken van betaling."
"Error in retrieving the transaction","Fout in het ophalen van transactie"
"Fraud order status","Fraude Bestelling Status"
"Gateway request error: %s","'Gateway request' fout: %s"
"Invalid amount for authorization","Ongeldige hoeveelheid voor autorisatie"
"Invalid transaction id","Ongeldige transactie id"
"Merchant Login","Handelaar Login"
"Partner","Partner"
"Password","Wachtwoord"
"Payflow Pro","Payflow Pro"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"TENDER","OFFERTE"
"URL","URL"
"Use Proxy","Proxy Gebruiken"
"User","Gebruiker"
"VERBOSITY","VERBOSITEIT"
"Voided transaction","Geannuleerde transactie"
"Sort order","Sorteervolgorde"
"Invoiced (paid)","Gefactureerd en betaald"
"Cash on Delivery","Rembours"
"Allow Partial Authorization","Sta incomplete autorisatie toe"
